tradeid,datetime,direction,offset,price,volume
1,2019-05-21 00:00:00+08:00,多,开,2751.0,1.0
2,2019-06-06 00:00:00+08:00,空,平,2904.0,1.0
3,2019-06-18 00:00:00+08:00,多,开,2975.0,1.0
4,2019-06-19 00:00:00+08:00,空,平,2904.0,1.0
5,2019-08-14 00:00:00+08:00,多,开,2935.0,1.0
6,2019-08-15 00:00:00+08:00,空,平,2891.0,1.0
7,2019-10-22 00:00:00+08:00,多,开,3086.0,1.0
8,2019-10-24 00:00:00+08:00,空,平,3035.0,1.0
9,2020-07-16 00:00:00+08:00,多,开,2875.0,1.0
10,2020-07-28 00:00:00+08:00,空,平,2981.0,1.0
11,2020-09-01 00:00:00+08:00,多,开,2976.0,1.0
12,2020-09-02 00:00:00+08:00,空,平,2937.0,1.0
13,2020-10-12 00:00:00+08:00,多,开,3257.0,1.0
14,2020-10-16 00:00:00+08:00,空,平,3190.0,1.0
15,2020-12-31 00:00:00+08:00,多,开,3363.0,1.0
16,2021-01-19 00:00:00+08:00,空,平,3650.0,1.0
17,2021-04-16 00:00:00+08:00,多,开,3479.0,1.0
18,2021-04-28 00:00:00+08:00,空,平,3582.0,1.0
19,2021-05-13 00:00:00+08:00,多,开,3762.0,1.0
20,2021-05-14 00:00:00+08:00,空,平,3657.0,1.0
21,2022-02-17 00:00:00+08:00,多,开,3708.0,1.0
22,2022-02-28 00:00:00+08:00,空,平,3855.0,1.0
23,2022-05-27 00:00:00+08:00,多,开,4114.0,1.0
24,2022-06-08 00:00:00+08:00,空,平,4084.0,1.0
25,2022-06-20 00:00:00+08:00,多,开,4188.0,1.0
26,2022-06-21 00:00:00+08:00,空,平,4110.0,1.0
27,2022-10-13 00:00:00+08:00,多,开,4068.0,1.0
28,2022-10-18 00:00:00+08:00,空,平,4021.0,1.0
29,2022-12-09 00:00:00+08:00,多,开,4420.0,1.0
30,2022-12-13 00:00:00+08:00,空,平,4362.0,1.0
31,2023-07-04 00:00:00+08:00,多,开,4005.0,1.0
32,2023-07-31 00:00:00+08:00,空,平,4215.0,1.0
33,2023-11-22 00:00:00+08:00,多,开,4030.0,1.0
34,2023-11-23 00:00:00+08:00,空,平,3961.0,1.0
35,2024-04-19 00:00:00+08:00,多,开,3308.0,1.0
36,2024-05-29 00:00:00+08:00,空,平,3549.0,1.0
