tradeid,datetime,direction,offset,price,volume
1,2019-10-08 00:00:00+08:00,多,开,2390.0,1.0
2,2019-10-11 00:00:00+08:00,空,平,2345.0,1.0
3,2020-01-14 00:00:00+08:00,多,开,2376.0,1.0
4,2020-01-17 00:00:00+08:00,空,平,2294.0,1.0
5,2020-09-01 00:00:00+08:00,多,开,1985.0,1.0
6,2020-09-09 00:00:00+08:00,空,平,2008.0,1.0
7,2020-10-28 00:00:00+08:00,多,开,2023.0,1.0
8,2020-10-30 00:00:00+08:00,空,平,2002.0,1.0
9,2020-11-16 00:00:00+08:00,多,开,2251.0,1.0
10,2020-11-26 00:00:00+08:00,空,平,2235.0,1.0
11,2020-12-10 00:00:00+08:00,多,开,2269.0,1.0
12,2020-12-23 00:00:00+08:00,空,平,2438.0,1.0
13,2020-12-31 00:00:00+08:00,多,开,2366.0,1.0
14,2021-01-08 00:00:00+08:00,空,平,2315.0,1.0
15,2021-03-08 00:00:00+08:00,多,开,2590.0,1.0
16,2021-03-10 00:00:00+08:00,空,平,2509.0,1.0
17,2021-05-13 00:00:00+08:00,多,开,2727.0,1.0
18,2021-05-14 00:00:00+08:00,空,平,2692.0,1.0
19,2021-07-12 00:00:00+08:00,多,开,2601.0,1.0
20,2021-07-28 00:00:00+08:00,空,平,2653.0,1.0
21,2021-08-30 00:00:00+08:00,多,开,2823.0,1.0
22,2021-09-01 00:00:00+08:00,空,平,2766.0,1.0
23,2021-09-16 00:00:00+08:00,多,开,3117.0,1.0
24,2021-09-17 00:00:00+08:00,空,平,3022.0,1.0
25,2021-09-28 00:00:00+08:00,多,开,3385.0,1.0
26,2021-10-13 00:00:00+08:00,空,平,3861.0,1.0
27,2022-03-08 00:00:00+08:00,多,开,3266.0,1.0
28,2022-03-10 00:00:00+08:00,空,平,3185.0,1.0
29,2022-09-22 00:00:00+08:00,多,开,2696.0,1.0
30,2022-09-23 00:00:00+08:00,空,平,2657.0,1.0
31,2022-09-30 00:00:00+08:00,多,开,2828.0,1.0
32,2022-10-11 00:00:00+08:00,空,平,2766.0,1.0
33,2023-01-18 00:00:00+08:00,多,开,2690.0,1.0
34,2023-02-02 00:00:00+08:00,空,平,2716.0,1.0
35,2023-08-10 00:00:00+08:00,多,开,2368.0,1.0
36,2023-08-16 00:00:00+08:00,空,平,2371.0,1.0
37,2023-11-16 00:00:00+08:00,多,开,2485.0,1.0
38,2023-11-20 00:00:00+08:00,空,平,2443.0,1.0
39,2024-03-07 00:00:00+08:00,多,开,2513.0,1.0
40,2024-03-22 00:00:00+08:00,空,平,2539.0,1.0
41,2024-05-14 00:00:00+08:00,多,开,2606.0,1.0
42,2024-05-15 00:00:00+08:00,空,平,2563.0,1.0
43,2024-11-19 00:00:00+08:00,多,开,2532.0,1.0
44,2024-11-28 00:00:00+08:00,空,平,2557.0,1.0
45,2024-12-24 00:00:00+08:00,多,开,2636.0,1.0
